Date,Hour,X Position,Y Position
08/02/18,17:40:42,96.3,31.0,
08/02/18,17:40:43,109.0,37.7,
08/02/18,17:40:43,100.0,29.1,
08/02/18,17:40:43,97.4,25.1,
08/02/18,17:40:43,96.9,27.7,
08/02/18,17:40:43,101.2,29.5,
08/02/18,17:40:43,92.9,34.1,
08/02/18,17:40:43,103.8,31.9,
08/02/18,17:40:43,97.6,24.6,
08/02/18,17:40:43,99.0,25.9,
08/02/18,17:40:43,104.5,34.2,
08/02/18,17:40:43,102.5,32.3,
08/02/18,17:40:43,104.4,35.1,
08/02/18,17:40:44,98.1,26.8,
08/02/18,17:40:44,97.4,26.1,
08/02/18,17:40:44,118.4,38.2,
08/02/18,17:40:44,102.6,33.2,
08/02/18,17:40:44,104.2,31.7,
08/02/18,17:40:44,105.0,32.4,
08/02/18,17:40:44,104.8,32.1,
08/02/18,17:40:44,101.9,24.0,
08/02/18,17:40:44,110.8,33.8,
08/02/18,17:40:44,110.5,32.2,
08/02/18,17:40:44,122.9,40.1,
08/02/18,17:40:44,111.4,31.4,
08/02/18,17:40:45,105.0,34.3,
08/02/18,17:40:45,107.6,34.0,
08/02/18,17:40:45,104.1,23.0,
08/02/18,17:40:45,111.9,34.1,
08/02/18,17:40:45,112.5,34.3,
08/02/18,17:40:45,112.9,32.1,
08/02/18,17:40:45,105.5,23.4,
08/02/18,17:40:45,107.2,23.1,
08/02/18,17:40:45,104.6,22.2,
08/02/18,17:40:45,113.6,31.4,
08/02/18,17:40:46,110.7,32.6,
08/02/18,17:40:46,115.4,34.1,
08/02/18,17:40:46,116.5,32.6,
08/02/18,17:40:46,109.5,36.6,
08/02/18,17:40:46,109.5,35.9,
08/02/18,17:40:46,109.6,24.6,
08/02/18,17:40:46,112.1,25.4,
08/02/18,17:40:46,117.7,33.0,
08/02/18,17:40:46,114.1,35.8,
08/02/18,17:40:46,114.0,25.7,
08/02/18,17:40:46,115.3,27.7,
08/02/18,17:40:46,122.5,35.6,
08/02/18,17:40:47,121.8,34.3,
08/02/18,17:40:47,123.2,36.1,
08/02/18,17:40:47,121.9,34.4,
08/02/18,17:40:47,116.5,36.7,
08/02/18,17:40:47,122.1,32.6,
08/02/18,17:40:47,123.0,34.7,
08/02/18,17:40:47,119.8,32.7,
08/02/18,17:40:47,122.6,35.0,
08/02/18,17:40:47,120.7,34.3,
08/02/18,17:40:47,119.2,23.8,
08/02/18,17:40:47,121.3,31.4,
08/02/18,17:40:47,116.4,25.1,
08/02/18,17:40:48,121.9,34.8,
08/02/18,17:40:48,121.9,33.2,
08/02/18,17:40:48,122.3,36.0,
08/02/18,17:40:48,116.5,22.7,
08/02/18,17:40:48,121.2,34.5,
08/02/18,17:40:48,118.1,36.1,
08/02/18,17:40:48,123.6,33.0,
08/02/18,17:40:48,125.6,35.2,
08/02/18,17:40:48,126.1,32.5,
08/02/18,17:40:48,125.7,29.7,
08/02/18,17:40:48,116.3,30.3,
08/02/18,17:40:49,129.1,28.9,
08/02/18,17:40:49,131.4,25.9,
08/02/18,17:40:49,131.9,29.5,
08/02/18,17:40:49,129.3,27.2,
08/02/18,17:40:49,130.3,27.4,
08/02/18,17:40:49,131.2,26.4,
08/02/18,17:40:49,130.5,26.8,
08/02/18,17:40:49,130.1,27.3,
08/02/18,17:40:49,131.0,26.4,
08/02/18,17:40:49,129.3,26.5,
08/02/18,17:40:49,128.3,23.4,
08/02/18,17:40:49,131.9,25.7,
08/02/18,17:40:50,125.0,27.4,
08/02/18,17:40:50,131.7,26.3,
08/02/18,17:40:50,131.9,26.5,
08/02/18,17:40:50,131.6,28.4,
08/02/18,17:40:50,134.3,23.7,
08/02/18,17:40:50,130.7,25.6,
08/02/18,17:40:50,133.2,24.1,
08/02/18,17:40:50,134.3,28.3,
08/02/18,17:40:50,136.9,22.2,
08/02/18,17:40:50,136.5,28.6,
08/02/18,17:40:50,138.3,28.1,
08/02/18,17:40:51,137.8,29.8,
08/02/18,17:40:51,139.4,27.3,
08/02/18,17:40:51,142.4,23.8,
08/02/18,17:40:51,142.2,24.2,
08/02/18,17:40:51,134.1,29.9,
08/02/18,17:40:51,141.7,27.5,
08/02/18,17:40:51,143.6,24.2,
08/02/18,17:40:51,142.1,26.2,
08/02/18,17:40:51,143.8,26.7,
08/02/18,17:40:51,145.3,30.1,
08/02/18,17:40:51,146.2,28.3,
08/02/18,17:40:51,144.7,28.7,
08/02/18,17:40:51,144.9,27.3,
08/02/18,17:40:52,145.3,27.4,
08/02/18,17:40:52,146.2,29.1,
