Date,Hour,X Position,Y Position
08/09/18,09:28:05,80.5,26.9,
08/09/18,09:28:05,92.4,23.3,
08/09/18,09:28:05,90.9,22.8,
08/09/18,09:28:05,93.6,21.3,
08/09/18,09:28:05,92.5,26.5,
08/09/18,09:28:05,91.7,23.3,
08/09/18,09:28:05,92.7,23.1,
08/09/18,09:28:06,94.0,25.3,
08/09/18,09:28:06,93.9,25.2,
08/09/18,09:28:06,94.7,26.2,
08/09/18,09:28:06,91.4,21.2,
08/09/18,09:28:06,93.7,26.5,
08/09/18,09:28:06,94.4,24.0,
08/09/18,09:28:06,95.7,26.3,
08/09/18,09:28:06,94.4,27.8,
08/09/18,09:28:06,100.2,23.7,
08/09/18,09:28:06,95.8,22.8,
08/09/18,09:28:06,97.3,26.9,
08/09/18,09:28:06,110.9,29.6,
08/09/18,09:28:06,97.6,24.5,
08/09/18,09:28:06,97.7,24.8,
08/09/18,09:28:06,98.2,26.3,
08/09/18,09:28:06,99.2,25.3,
08/09/18,09:28:06,98.2,24.4,
08/09/18,09:28:06,99.3,24.9,
08/09/18,09:28:07,98.5,25.6,
08/09/18,09:28:07,99.2,26.8,
08/09/18,09:28:07,98.2,27.6,
08/09/18,09:28:07,99.9,24.2,
08/09/18,09:28:07,100.9,24.6,
08/09/18,09:28:07,102.3,26.3,
08/09/18,09:28:07,103.6,25.5,
08/09/18,09:28:07,101.3,27.1,
08/09/18,09:28:07,116.1,33.0,
08/09/18,09:28:07,103.0,26.2,
08/09/18,09:28:07,92.7,32.4,
08/09/18,09:28:07,103.6,25.9,
08/09/18,09:28:07,119.0,30.9,
08/09/18,09:28:07,98.7,19.5,
08/09/18,09:28:07,94.0,30.0,
08/09/18,09:28:07,98.8,19.7,
08/09/18,09:28:07,103.9,27.4,
08/09/18,09:28:07,103.7,21.8,
08/09/18,09:28:08,104.6,27.0,
08/09/18,09:28:08,97.9,17.8,
08/09/18,09:28:08,104.3,27.1,
08/09/18,09:28:08,104.5,26.7,
08/09/18,09:28:08,119.7,36.2,
08/09/18,09:28:08,105.7,27.9,
08/09/18,09:28:08,107.0,26.4,
08/09/18,09:28:08,107.3,26.1,
08/09/18,09:28:08,98.8,30.3,
08/09/18,09:28:08,104.8,27.1,
08/09/18,09:28:08,105.0,25.9,
08/09/18,09:28:08,108.7,22.9,
08/09/18,09:28:08,107.2,26.2,
08/09/18,09:28:08,107.1,28.3,
08/09/18,09:28:08,108.9,28.6,
08/09/18,09:28:08,110.1,26.5,
08/09/18,09:28:09,107.4,27.2,
08/09/18,09:28:09,108.3,27.0,
08/09/18,09:28:09,108.2,26.3,
08/09/18,09:28:09,107.2,24.7,
08/09/18,09:28:09,122.1,33.1,
08/09/18,09:28:09,109.8,27.7,
08/09/18,09:28:09,124.1,31.3,
08/09/18,09:28:09,109.8,26.8,
08/09/18,09:28:09,101.6,30.5,
08/09/18,09:28:09,109.8,27.4,
08/09/18,09:28:09,111.4,25.6,
08/09/18,09:28:09,110.3,27.4,
08/09/18,09:28:09,112.7,28.2,
08/09/18,09:28:09,111.5,26.7,
08/09/18,09:28:09,113.2,27.2,
08/09/18,09:28:09,115.0,28.3,
08/09/18,09:28:10,112.5,28.7,
08/09/18,09:28:10,113.0,28.2,
08/09/18,09:28:10,108.5,30.9,
08/09/18,09:28:10,114.6,28.6,
08/09/18,09:28:10,113.6,28.2,
08/09/18,09:28:10,114.9,29.1,
08/09/18,09:28:10,114.6,27.1,
08/09/18,09:28:10,114.6,27.8,
08/09/18,09:28:10,109.3,17.7,
08/09/18,09:28:10,110.0,20.5,
08/09/18,09:28:10,117.9,28.0,
08/09/18,09:28:10,116.9,29.0,
08/09/18,09:28:10,115.8,27.8,
08/09/18,09:28:10,117.0,25.5,
08/09/18,09:28:10,120.0,28.0,
08/09/18,09:28:10,118.4,27.8,
08/09/18,09:28:10,120.8,25.5,
08/09/18,09:28:11,120.3,28.8,
08/09/18,09:28:11,117.9,26.8,
08/09/18,09:28:11,120.8,29.0,
08/09/18,09:28:11,121.0,25.9,
08/09/18,09:28:11,121.2,28.5,
08/09/18,09:28:11,120.2,28.8,
08/09/18,09:28:11,116.5,21.0,
08/09/18,09:28:11,120.1,29.2,
08/09/18,09:28:11,137.6,33.6,
08/09/18,09:28:11,124.7,26.9,
08/09/18,09:28:11,123.6,29.0,
08/09/18,09:28:11,136.9,34.4,
08/09/18,09:28:11,118.1,30.8,
08/09/18,09:28:11,124.7,30.3,
08/09/18,09:28:11,122.0,27.9,
08/09/18,09:28:11,122.6,29.0,
08/09/18,09:28:11,123.7,26.7,
08/09/18,09:28:12,126.1,27.3,
08/09/18,09:28:12,125.1,28.1,
08/09/18,09:28:12,125.6,26.7,
08/09/18,09:28:12,127.0,28.9,
08/09/18,09:28:12,126.6,29.5,
08/09/18,09:28:12,125.1,28.4,
08/09/18,09:28:12,128.0,26.3,
08/09/18,09:28:12,127.8,27.4,
08/09/18,09:28:12,126.2,31.0,
08/09/18,09:28:12,138.4,32.2,
08/09/18,09:28:12,120.6,31.1,
08/09/18,09:28:12,122.3,29.0,
08/09/18,09:28:12,126.3,28.8,
08/09/18,09:28:12,128.3,28.0,
08/09/18,09:28:12,127.0,29.1,
08/09/18,09:28:12,122.8,17.5,
08/09/18,09:28:12,128.7,26.9,
08/09/18,09:28:12,128.8,25.4,
08/09/18,09:28:13,129.6,24.8,
08/09/18,09:28:13,124.8,19.2,
08/09/18,09:28:13,123.1,29.7,
08/09/18,09:28:13,129.3,23.9,
08/09/18,09:28:13,129.4,23.4,
08/09/18,09:28:13,121.8,25.1,
08/09/18,09:28:13,130.3,25.1,
08/09/18,09:28:13,128.7,24.4,
08/09/18,09:28:13,130.0,25.7,
08/09/18,09:28:13,130.5,25.0,
08/09/18,09:28:13,130.2,21.7,
08/09/18,09:28:13,131.8,22.3,
08/09/18,09:28:13,129.4,24.1,
08/09/18,09:28:13,131.3,26.6,
08/09/18,09:28:13,131.2,25.5,
08/09/18,09:28:13,132.7,25.1,
08/09/18,09:28:13,134.1,24.4,
08/09/18,09:28:13,133.6,24.6,
08/09/18,09:28:14,130.8,19.6,
08/09/18,09:28:14,134.6,26.4,
08/09/18,09:28:14,133.3,26.3,
08/09/18,09:28:14,132.9,23.9,
08/09/18,09:28:14,129.3,16.6,
08/09/18,09:28:14,133.3,23.8,
08/09/18,09:28:14,134.0,24.5,
08/09/18,09:28:14,134.2,22.7,
08/09/18,09:28:14,131.3,28.5,
08/09/18,09:28:14,135.6,25.2,
08/09/18,09:28:14,135.9,26.5,
08/09/18,09:28:14,130.3,28.9,
08/09/18,09:28:14,133.6,18.1,
08/09/18,09:28:14,134.2,27.5,
08/09/18,09:28:14,136.5,28.3,
08/09/18,09:28:14,135.5,25.0,
08/09/18,09:28:14,137.6,25.9,
08/09/18,09:28:14,138.5,25.0,
08/09/18,09:28:15,135.1,18.6,
08/09/18,09:28:15,138.3,26.1,
